Seite,Zeilen,TextDissertation,SeiteFundstelle,ZeilenFundstelle,TextFundstelle,Kategorie,ImLiteraturverzeichnis,Quelle,URL,Anmerkung
15, "10-12", "„E pluribus unum“, „Aus vielem eines“ - so lautete das Motto, unter dem vor über 215 Jahren die amerikanischen Staaten zur Union zusammenfanden. Ein Motto, das programmatisch zu verstehen ist.", 1, "", "“E pluribus unum&quot;, &quot;Aus vielem eines&quot; - so lautete das Motto, unter dem vor rund 200 Jahren die amerikanischen Staaten zur Union zusammenfanden, und dieses Motto ist programmatisch zu verstehen.", "Verschleierung", "ja", "Zehnpfennig 1997", "http://de.guttenplag.wikia.com/wiki/Kategorie:Zehnpfennig%201997", "Dokumentiert in: http://my.opera.com/raphman/blog/guttenberg-und-zehnpfennig. {{Fragmentsichter|Schuju|+}}"
15, "12-19", "Das Land, das wie kein anderes den Pluralismus auf seine Fahnen geschrieben hat, eröffnet erst auf dieser einheitlichen, gemeinsamen Basis den Spielraum für die Entfaltung von Vielheit. Sich zu einer Nation zu vereinigen, die ursprünglich autonome Vielfalt gegen einen von der Zentralregierung gewährten Pluralismus einzutauschen bedeutete indes Verzicht; die bisher unter losem Konföderationsdach weitgehend selbständigen Einzelstaaten mussten um des Gemeinsamen willen den Anspruch auf das Eigene zurückschrauben und Souveränitätsrechte abgeben.", 1, "", "Das Land, das wie kein anderes den Pluralismus auf seine Fahnen geschrieben hat, eröffnet erst auf dieser einheitlichen, gemeinsamen Basis den Spielraum für die Entfaltung von Vielheit. Sich zu einer Nation zu vereinigen, die ursprüngliche autonome Vielfalt gegen einen von einer Zentralregierung gewährten Pluralismus einzutauschen bedeutete natürlich Verzicht; die bisher unter losem Konföderationsdach weitgehend selbständigen Einzelstaaten mußten um des Gemeinsamen willen den Anspruch auf das Eigene zurückschrauben und Souveränitätsrechte abgeben.", "KomplettPlagiat", "ja", "Zehnpfennig 1997", "http://de.guttenplag.wikia.com/wiki/Kategorie:Zehnpfennig%201997", "Dokumentiert in: http://my.opera.com/raphman/blog/guttenberg-und-zehnpfennig. {{Fragmentsichter|Schuju|+}}"
15, "108-118", "Der deutsche Humanist M. Ringmann begeisterte sich für den Entdecker und Seefahrer Vespucci. Der mit Ringmann befreundete Kosmograph M. Waldseemüller nahm dessen Vorschlag auf, Vespuccis Namen auf der seiner &quot;Cosmographiae Introductio&quot; beigegebenen Weltkarte von 1507 für den neuen und erst vage umrissenen Erdteil zu verwenden. Ringmann hatte vorgeschlagen, Vespuccis Vornamen(der sich von Imre bzw. Emmerich, dem zusammen mit dem Vater heiliggesprochenen Sohn des Ungarnkönigs Stephan I. herleitet) entsprechend den Namen der anderen Kontinente der &quot;Alten Welt&quot;, Europa, Afrika, zu feminisieren und in dieser Folge als &quot;America&quot; zu übernehmen. Andere Versionen, denen zufolge der Kontinent nach Amalrich, dem Namen zweier Könige von Jerusalem im 12. Jahrhundert, oder nach der 1529 gegründeten Stadt Maracaibo benannt worden sei, sind einwandfrei widerlegt.", 17, "", "„Der deutsche Humanist Ringmann begeisterte sich für Vespucci, und der ihm befreundete Kosmograph Waldseemüller nahm seinen Vorschlag auf, Vespuccis Namen auf der seiner „Cosmographiae Introductio“ beigegebenen Weltkarte von 1507 für den neuen und hier erst vage in seinen Umrissen angedeuteten Erdteil zu verwenden. Ringmann hatte vorgeschlagen, des Seefahrers Vornamen Amerigo*, entsprechend den Namen der Kontinente der Alten Welt, Europa, Afrika, zu feminisieren und in dieser Form als AMERICA zu übernehmen. …. Andere Versionen, denen zufolge der Kontinent nach Amalrich, dem Namen zweier Könige von Jerusalem im 12. Jh., oder nach der 1529 gegründeten Stadt Maracaibo benannt worden sei,sind einwandfrei widerlegt“", "Verschleierung", "nein", "Hofmeister 1988", "http://de.guttenplag.wikia.com/wiki/Kategorie:Hofmeister%201988", "Auffallend bei zu Guttenberg ist: 1) dass die Quelle &quot;Laubenberger&quot; unvollständig zitiert wird (dort ist der Text in der vorliegenden Form nicht zu finden): Es fehlen Jahr und Seitenzahl.  2) Der Verweis auf das &quot;Archiv für Wiss. Geographie&quot; ist fehlerhaft und ebenso unvollständig. Es handelt sich um den Untertitel der Zeitschrift &quot;ERDKUNDE&quot;.  3) Fehlerhaft ist der Titel von Ronsin: Es muss heißen: découverte und baptême.   Fazit: Es drängt sich der Verdacht auf, daß die zitierten Quellen vom Verfasser nicht gesichtet wurden und lediglich der Verschleierung des Plagiats dienen."
016, "01-09", "Wie schwer ein solcher Verzicht fällt, wie nahe das Eigene und wie fern das&#13;&#10;Gemeinsame erscheint, wenn man beides gegeneinander abzuwägen beginnt, zeigt&#13;&#10;sich in aller Deutlichkeit in dem schwierigen Prozess der europäischen Einigung,&#13;&#10;der so mühsam und zäh vonstatten geht und daher auch weiterhin so wenig Begeisterung zu erwecken vermag. Gerade angesichts dieser Schwierigkeiten erscheint es angebracht, sich mit einigen Argumenten und Grundfragen zu beschäftigen, mit denen man damals, als es um die amerikanische Einigung ging, für und wider die bundesstaatliche Lösung focht und zu ermitteln, welches Modell der Vermittlung von Einheit und Vielfalt schließlich die Mehrheit überzeugte.", 1, "", "Wie schwer ein solcher Verzicht fällt, wie nahe das Eigene und wie fern das Gemeinsame erscheint, wenn man beides gegeneinander abzuwägen beginnt, zeigt sich in aller Deutlichkeit in dem schwierigen Prozeß der europäischen Einigung, der so mühsam und zäh vonstatten geht und daher auch so wenig Begeisterung zu erwecken vermag. Gerade angesichts dieser Schwierigkeiten ist es verlockend, sich mit den Argumenten zu beschäftigen, mit denen man damals, als es um die amerikanische Einigung ging, für und wider die bundesstaatliche Lösung focht und welches Modell der Vermittlung von Einheit und Vielfalt schließlich die Mehrheit überzeugte.", "Verschleierung", "ja", "Zehnpfennig 1997", "http://de.guttenplag.wikia.com/wiki/Kategorie:Zehnpfennig%201997", "{{Fragmentsichter|Schuju|+}}"
016, "10-19", "Am 18. Juni 2004 wurde europäische Verfassungsgeschichte geschrieben. Die Staats- und Regierungschefs der Europäischen Union einigten sich auf den Text des europäischen Verfassungsvertrages. Die Vorgeschichte ist lang und ein Rückblick darf sich keineswegs auf Dezember 2001 beschränken, in dem sich ein pluralistisch zusammengesetztes 105-köpfiges Gremium an die Ausarbeitung einer „Verfassung für Europa“ machte. Am 28. Februar 2002 versammelten sich in Brüssel die Vertreter von Regierungen und Parlamenten aus ganz Europa zu der ersten Sitzung des EU-Konvents. Einheit in der Vielfalt: Die Verfassung einer freiheitlichen Gemeinschaft gab Anlass zu intensiven Debatten innerhalb des Konvents.", 1, "", "Am 18. Juni 2004 wurde europäische Verfassungsgeschichte geschrieben. Die Staats- und Regierungschefs der Europäischen Union einigten sich auf den Text des europäischen Verfassungsvertrages. Die Vorgeschichte ist lang: Im Dezember 2001 machte sich ein pluralistisch zusammengesetztes 105-köpfiges Gremium an die Arbeit. Am 28. Februar 2002 versammelten sich in Brüssel die Vertreter von Regierungen und Parlamenten aus ganz Europa zu der ersten Sitzung des EU-Konvents. Einheit in der Vielfalt: Die Verfassung einer freiheitlichen Gemeinschaft gab Anlass zu intensiven Debatten innerhalb des Konvents.", "Verschleierung", "nein", "NZZ-Dossier 2004", "http://de.guttenplag.wikia.com/wiki/Kategorie:NZZ-Dossier%202004", ""
016, "20-26", "Als der europäische Verfassungskonvent seine Beratungen aufnahm, war dies&#13;&#10;von allgemein verbreiteter Skepsis begleitet. Die Erwartungen wurden von allen&#13;&#10;Beteiligten heruntergespielt. Bezeichnenderweise schien (zumindest in der&#13;&#10;Anfangsphase des Konvents) nur in den USA Vertrauen in das neue Werk der&#13;&#10;Europäer zu bestehen. Dort wurde der Verfassungskonvent in den Medien wie in&#13;&#10;der politischen Debatte zuweilen ungeniert mit dem Konvent von Philadelphia&#13;&#10;verglichen. 3", 10, "11-16", "Als der Konvent am&#13;&#10;28. Februar 2002 seine Beratungen aufnahm, war dies von allgemein verbreiteter&#13;&#10;Skepsis begleitet. Die Erwartungen wurden von allen Beteiligten&#13;&#10;heruntergespielt. Nur in Amerika schien Vertrauen in das neue Werk der&#13;&#10;Europäer zu bestehen. Dort wurde der Verfassungskonvent ungeniert mit&#13;&#10;dem Konvent von Philadelphia verglichen, [...]", "Verschleierung", "ja", "Kühnhardt 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Kühnhardt%202003", "Der unmittelbare Folgesatz von Kühnhardt findet sich bei Guttenberg auf Seite 030."
16, "27-33", "Nicht nur die spezielle Bezeichnung des mit der Ausarbeitung des Entwurf eines&#13;&#10;Vertrags über eine Verfassung für Europa befassten Gremiums als „Europäischer&#13;&#10;Konvent&quot; weckt Assoziationen mit dem mit der Ausarbeitung der amerikanischen&#13;&#10;Bundesverfassung betrauten „Konvent von Philadelphia&quot;. Auch das Ergebnis&#13;&#10;der europäischen Konventsberatungen, das landläufig als „EU-Verfassung&quot; bezeichnet&#13;&#10;wurde, scheint (vordergründig) inhaltliche Parallelen zur amerikanischen&#13;&#10;Bundesverfassung aufzuweisen.", 2, "2-9", "Nicht nur die spezielle Bezeichnung des bis Juli dieses Jahres mit der Ausarbeitung des&#13;&#10;Entwurfs eines Vertrags über eine Verfassung für Europa befassten Gremiums als „Europäischer&#13;&#10;Konvent“ weckt Assoziationen mit den aus der Geschichte bekannten verfassunggebenden&#13;&#10;Versammlungen wie etwa dem mit der Ausarbeitung der amerikanischen&#13;&#10;Bundesverfassung befassten „Konvent von Philadelphia“. Auch das nun vorliegende&#13;&#10;Ergebnis der Konventsberatungen, das landläufig als „EU-Verfassung“ bezeichnet wird,&#13;&#10;scheint eine derartige historische Parallele zur amerikanischen Bundesverfassung aufzuweisen.", "Verschleierung", "nein", "Görlitz 2003b", "http://de.guttenplag.wikia.com/wiki/Kategorie:Görlitz%202003b", "{{Fragmentsichter|Goalgetter|+}}"
16, "34-37", "Bereits seit Gründung der Europäischen Gemeinschaft für Kohle und Stahl (EGKS) haben die USA ein lebhaftes Interesse am europäischen Integrationsprozess gezeigt. Es ist für Europa auch heute bedeutsam zu wissen, welche Perzeption die fortschreitende europäische Integration und das Projekt „europäische Verfas-[sung“ in den USA erfährt, um im sich wandelnden transatlantischen Verhältnis [Fn 4] für Verständnis zu werben und um erneute Missverständnisse zu vermeiden.]", 2, "13ff.", "Seit Gründung der EGKS haben die USA stets ein lebhaftes Interesse am europäischen Integrationsprozess gezeigt. Auch heute ist es für Europa wichtig zu wissen, wie die fortschreitende europäische Integration und das Projekt “europäische Verfassung” in den USA perzipiert werden, um für Verständnis zu werben und um Missverständnisse zu vermeiden.", "Verschleierung", "ja", "Burghardt 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Burghardt%202002", "Beginn eines längeren Plagiats. Die Fussnote 5 auf Seite 017 fuehrt die Quelle an, &quot;So aber...&quot;. {{Fragmentsichter|Schuju|+}}"
17, "1-18", "[Es ist für Europa auch heute bedeutsam zu wissen, welche Perzeption&#13;&#10;die fortschreitende europäische Integration und das Projekt „europäische Verfas-]sung“ in den USA erfährt, um im sich wandelnden transatlantischen Verhältnis [Fn 4] für Verständnis zu werben und um erneute Missverständnisse zu vermeiden. Die konstitutionelle Fortentwicklung Europas betrifft die USA als wichtigsten Partner der Europäischen Union unmittelbarer als dies in manchen Kreisen der amerikanischen Administration und einzelner Think Tanks wahrgenommen werden will. Die Annahme, die USA würden das europäische Interesse teilen, den Prozess der europäischen Integration dauerhaft in eine „transatlantische Partnerschaft der Gleichen“ einzubetten, führt (mittlerweile) allerdings zu weit. [Fn 5]&#13;&#10;&#13;&#10;Allerdings gibt es zwischen Europa und den Vereinigten Staaten weiterhin eine Vielzahl verknüpfender Aspekte, die freilich einer ständigen Neudefinition unterworfen sind.  Eindrucksvoll waren in diesem Kontext die Worte von Präsident &#039;&#039;J. F. Kennedy&#039;&#039;, der am amerikanischen Unabhängigkeitstag, dem 4. Juli 1962, in der Hall of Independence in Philadelphia seine transatlantische Rede mit dem Wunsch beendete, das sich einigende Europa und die Vereinigten Staaten dereinst in einer Declaration of Interdependence&quot; verbunden zu sehen. Selbst wenn die transatlantische Atmosphäre wiederkehrend einigen Turbulenzen unterworfen ist, sollte das feinsinnige Wortspiel mit der amerikanischen &quot;Declaration of Independence&quot; vom 4. Juli 1776 nicht in Vergessenheit geraten.&#13;&#10;&#13;&#10;[Fn 5]&#13;&#10;So aber G. Burghardt, Die Europäische Verfassungsentwicklung aus dem Blickwinkel der USA, Vortrag an der Humboldt-Universität zu Berlin am 6. Juni 2002, im Internet unter www.rewi.hu-berlin.de/ WHI/ deutsch/ fce/ fce402/ burghardt.htm, S. 1.", 2, "11-24", "Auch heute ist es für Europa wichtig zu wissen, wie die fortschreitende europäische Integration und das Projekt “europäische Verfassung” in den&#13;&#10;USA perzipiert werden, um für Verständnis zu werben und um Missverständnisse zu&#13;&#10;vermeiden. Die konstitutionelle Fortentwicklung Europas betrifft die USA als wichtigsten Partner der Europäischen Union ganz unmittelbar, weshalb die USA das europäische Interesse teilen, den Prozess der europäischen Integration dauerhaft in eine „transatlantische Partnerschaft der Gleichen“ einzubetten. Präsident John F. Kennedy war es, der dieses Konzept vor fast genau 40 Jahren, am amerikanischen Unabhängigkeitstag, dem 4. Juli 1962 in der Hall of Independence in Philadelphia eindrucksvoll prägte. Und er beendete seine transatlantische Rede mit dem Wunsch, das sich einigende Europa und die Vereinigten Staaten dereinst in einer „Declaration of Interdependence“ verbunden zu sehen. Welch damals erstaunlich vorausschauendes Konzept; welch ein kraftvoll programmatisches und symbolhaftes Wortspiel mit der amerikanischen &quot;Declaration of Independence&quot; vom 4. Juli 1776!", "Verschleierung", "ja", "Burghardt 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Burghardt%202002", "Diese Textstelle fängt mit einem verschleierten Zitate an, um dann zu der gegenteiligen Folgerung zu kommen, wie das fast unveränderte Original. Die an dieser Stelle stehende Fußnote 5 wird eingeleitet mit einem &quot;So aber&quot; auf den Verfasser des plagierten Texts hingewiesen. {{Fragmentsichter|Schuju|0}}"
017, "19-32", "Nicht selten werden die Vorstellungen über Europas zukünftige Rolle in der Welt mit historischen Argumenten unterfüttert, etwa wenn auf die säkulare Tendenz zu einer immer eigenständigeren europäischen Außen- und Verteidigungspolitik oder – im Gegenteil – auf die dauerhafte sicherheitspolitische Abhängigkeit Europas von den USA verwiesen wird. Unabhängig davon, wie berechtigt oder abwegig historische Rekurse dieser Art tatsächlich sind, dürfte sich ein kurzer Rückblick auf die jeweiligen Verfassunggebungsprozesse und demzufolge auf einige Kapitel aus dem Geschichtsbuch der amerikanisch-europäischen Beziehungen bei der Erörterung von Grenzen und Möglichkeit der internationalen Rolle eines stärker&#13;&#10;integrierten Europa als überaus hilfreich erweisen. Wie auch in anderen Politikfeldern, kann die Beschäftigung mit der Vergangenheit dazu beitragen, die Risiken und Chancen bestimmter politischer Maßnahmen realitätsgerechter zu beurteilen, Fehlperzeptionen zu erkennen und somit die verantwortlichen Akteure in die Lage zu versetzen, angemessen auf neue Herausforderungen zu reagieren.", 3, "", "Nicht selten werden die Vorstellungen über Europas zukünftige Rolle in der Welt mit historischen Argumenten unterfüttert, etwa wenn auf die säkulare Tendenz zu einer immer eigenständigeren europäischen Außen- und Verteidigungspolitik oder - im Gegenteil - auf die dauerhafte sicherheitspolitische Abhängigkeit Europas von den USA verwiesen wird. [3] Unabhängig davon, wie berechtigt oder abwegig historische Rekurse dieser Art tatsächlich sind, dürfte sich ein kurzer Rückblick auf die Geschichte der amerikanisch-europäischen Beziehungen bei der Erörterung von Grenzen und Möglichkeit der internationalen Rolle eines stärker integrierten Europa als überaus hilfreich erweisen. Wie auf anderen Politikfeldern auch, kann die Beschäftigung mit der Vergangenheit dazu beitragen, die Risiken und Chancen bestimmter politischer Maßnahmen realitätsgerechter zu beurteilen, Fehlperzeptionen zu erkennen und somit die verantwortlichen Akteure in die Lage zu versetzen, angemessen auf neue Herausforderungen zu reagieren.", "KomplettPlagiat", "nein", "Weege 2005", "http://de.guttenplag.wikia.com/wiki/Kategorie:Weege%202005", "http://www.spiegel.de/politik/deutschland/0,1518,747325,00.html"
